Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
老馬說：以後人類不用工作 錢不在重要 缺的是能量 看來先向內觀了😌,10,老馬說：以後人類不用工作 錢不在重要 缺的是能量 看來先向內觀了😌,能量|重要; 錢|重要,2,老馬 說 ： 以後 人類 不用 工作   錢 不 在 重要   缺 的 是 能量   看來 先 向 內觀 了 😌
去年演唱會現場有表演吹一小段笛子就覺得好有才藝了，現在笛聲運用在這首歌裡 好驚喜 好喜歡❤️‍🔥未來演唱會上如果唱這首一定很震撼,11,去年演唱會現場有表演吹一小段笛子就覺得好有才藝了，現在笛聲運用在這首歌裡 好驚喜 好喜歡❤️‍🔥未來演唱會上如果唱這首一定很震撼,才藝|覺得; 歌|驚喜; 演唱會|喜歡; 笛子|小; 笛子|覺得,5,去年 演唱會 現場 有 表演 吹 一 小 段 笛子 就 覺得 好 有 才藝 了 ， 現在 笛聲 運用 在 這 首 歌 裡   好 驚喜   好 喜歡 ❤️‍🔥 未來 演唱會 上 如果 唱 這 首 一定 很 震撼
居然聽的時候會起雞皮疙瘩  能量太強?😄,12,居然聽的時候會起雞皮疙瘩  能量太強?😄,能量|強; 雞皮疙瘩|強,2,居然 聽 的 時候 會 起 雞皮疙瘩     能量 太 強
"gate gate, pāragate, pārasaṃgate, bodhi! svāhā!
這段讓我情緒湧上來❤️‍🔥",13,"gate gate, pāragate, pārasaṃgate, bodhi! svāhā!
這段讓我情緒湧上來❤️‍🔥",,0,
真的愛死了0:58時邊阿彌陀佛邊搖頭晃腦的眾生相，不只抓耳了還抓眼，但腦中總莫名想起我是傳奇裡的喪屍(?,14,真的愛死了0:58時邊阿彌陀佛邊搖頭晃腦的眾生相，不只抓耳了還抓眼，但腦中總莫名想起我是傳奇裡的喪屍(?,傳奇|喪屍; 傳奇|莫名; 腦|莫名; 阿彌陀佛|死,4,真的 愛 死 了 0:58 時 邊 阿彌陀佛 邊 搖頭晃腦 的 眾生相 ， 不只 抓耳 了 還 抓 眼 ， 但 腦 中 總 莫名 想起 我 是 傳奇 裡 的 喪屍 (
"好厲害的詞曲
MV的設計也好好看
23全新昇華了
看到揭諦揭諦那段轉變到水滴溶於湖川直接淚流🥹

看完MV的解讀：每個人如那一滴水
那一滴水外還有很大的世界
觀自在不抓
放下後往外延伸的視角就可以很大💖",15,"好厲害的詞曲
MV的設計也好好看
23全新昇華了
看到揭諦揭諦那段轉變到水滴溶於湖川直接淚流🥹

看完MV的解讀：每個人如那一滴水
那一滴水外還有很大的世界
觀自在不抓
放下後往外延伸的視角就可以很大💖",揭諦|轉變到; 水|大; 水滴|溶; 水滴|直接; 水滴|轉變到; 淚流|溶; 淚流|直接; 湖川|溶; 湖川|直接; 湖川|轉變到; 視角|大; 視角|延伸; 詞曲|厲害,13,好 厲害 的 詞曲 || 看到 揭諦 揭諦 那 段 轉變到 水滴 溶 於 湖川 直接 淚流 🥹 || 那 一 滴 水 外 還 有 很 大 的 世界 || 放下 後 往 外 延伸 的 視角 就 可以 很 大 💖
"追到首播～～
看完好震撼！用更高的維度看苦難，似乎能理解一切終將邁向更好的自己。
平常聽心經是平靜，聽23版像用更覺知的感官理解自己的感受🧘",16,"追到首播～～
看完好震撼！用更高的維度看苦難，似乎能理解一切終將邁向更好的自己。
平常聽心經是平靜，聽23版像用更覺知的感官理解自己的感受🧘",心經|平靜; 感受|理解; 感官|理解; 感官|覺知; 版|平靜; 版|覺知; 維度|高; 苦難|理解; 苦難|高,9,用 更 高 的 維度 看 苦難 ， 似乎 能 理解 一切 終 將 邁向 更 好 的 自己 || 平常 聽 心經 是 平靜 ， 聽 23 版 像 用 更 覺知 的 感官 理解 自己 的 感受 🧘
"我從來都沒想過佛經可以這樣唱
這不單純只是唱
是藝術",17,"我從來都沒想過佛經可以這樣唱
這不單純只是唱
是藝術",佛經|這樣,1,我 從來 都 沒 想 過 佛經 可以 這樣 唱
追求自我平靜是最重要的事,18,追求自我平靜是最重要的事,事|平靜; 事|重要,2,追求 自我 平靜 是 最 重要 的 事
上善若水，就像你說的一切如水，一場大雨能讓天上的人與地上的人連結，代表有很深的思念，複雜的社會裡我能感受到這首歌給人的能量，曲就像一封email(給人第一印象)，詞就像內在的真誠，兩者的平衡讓我感受到你破繭而出的過程，謝謝給我們這首歌，我很喜歡!,19,上善若水，就像你說的一切如水，一場大雨能讓天上的人與地上的人連結，代表有很深的思念，複雜的社會裡我能感受到這首歌給人的能量，曲就像一封email(給人第一印象)，詞就像內在的真誠，兩者的平衡讓我感受到你破繭而出的過程，謝謝給我們這首歌，我很喜歡!,人|代表; 人|感受到; 歌|喜歡; 歌|感受到; 社會|感受到; 社會|複雜; 者|感受到; 過程|感受到,8,上 善 若水 ， 就 像 你 說 的 一切 如 水 ， 一 場 大雨 能 讓 天 上 的 人 與 地 上 的 人 連結 ， 代表 有 很 深 的 思念 ， 複雜 的 社會 裡 我 能 感受到 這 首 歌 給 人 的 能量 ， 曲 就 像 一 封 email ( 給 人 第一 印象 ) ， 詞 就 像 內在 的 真誠 ， 兩 者 的 平衡 讓 我 感受到 你 破繭而出 的 過程 ， 謝謝 給 我們 這 首 歌 ， 我 很 喜歡
這MV開頭的表情細節有震撼到 呈現出喜怒哀樂的氛圍,20,這MV開頭的表情細節有震撼到 呈現出喜怒哀樂的氛圍,,0,
超級愛這首，一聽就抓耳，希望之後還能再聽到類似的曲。,21,超級愛這首，一聽就抓耳，希望之後還能再聽到類似的曲。,,0,
歌很頂，MV也有夠頂，好久沒看到這麼頂的歌跟MV,22,歌很頂，MV也有夠頂，好久沒看到這麼頂的歌跟MV,歌|頂,1,歌 很 頂 ， MV 也 有 夠 頂 ， 好 久 沒 看到 這麼 頂 的 歌 跟 MV
現場聽一定是震撼版本🪷,23,現場聽一定是震撼版本🪷,,0,
真正的自己、真正的真實，是孤獨的朝聖，是往內走的旅程，沒人能陪，只有從獨自一人願意向前行。而在今天，透過流行音樂具有影響力的阿夜，將人類必須向內觀的本質與責任，終於用娛樂圈、用演藝圈、用大眾化的流行文化開始傳遞了，恭喜台灣、恭喜華人，大家一起觀自在。,24,真正的自己、真正的真實，是孤獨的朝聖，是往內走的旅程，沒人能陪伴，只有從獨自一人願意向前行。而在今天，穿透流行音樂力的阿夜，將人類必須向內觀的本質與責任，終於用娛樂圈、用演藝圈、用大眾化的流行文化開始傳遞了，恭喜台灣、恭喜華人，大家一起觀自在。,人|願意; 文化|大眾化; 文化|流行; 華人|自在; 阿夜|流行; 音樂力|流行,6,真正 的 自己 、 真正 的 真實 ， 是 孤獨 的 朝聖 ， 是 往 內 走 的 旅程 ， 沒 人 能 陪伴 ， 只有 從 獨自 一 人 願意 向 前 行 || 而 在 今天 ， 穿透 流行 音樂力 的 阿夜 ， 將 人類 必須 向 內觀 的 本質 與 責任 ， 終於 用 娛樂圈 、 用 演藝圈 、 用 大眾化 的 流行 文化 開始 傳遞 了 ， 恭喜 台灣 、 恭喜 華人 ， 大家 一起 觀 自在
就知道笛子是自己吹的！！真的好強好聽,25,就知道笛子是自己吹的！！真的好強好聽,笛子|知道,1,就 知道 笛子 是 自己 吹 的
感覺很適合當神仙類電視劇主題曲欸🤣  超好聽！！！,26,感覺很適合當神仙類電視劇主題曲欸🤣  超好聽！！！,主題曲|好聽; 主題曲|適合; 神仙類|感覺; 神仙類|適合; 電視劇|好聽; 電視劇|感覺; 電視劇|適合,7,感覺 很 適合 當 神仙類 電視劇 主題曲 欸 🤣   超 好聽
"我不是歌迷
第一次偶然被推播看到背後故事的介紹後
我就搜尋了一下找到這裡來

我喜歡後面電車那段
我的感覺是那是在表達輪迴與過客
今天的歌者，前世可能是各種各樣的人、有老有小有男有女有好有壞（其實也可能有動物有植物有精靈有天人的）

那段不知為何讓我有點被觸動到，眼淚還默默的從眼角流下來。",27,"我不是歌迷
第一次偶然被推播看到背後故事的介紹後
我就搜尋了一下找到這裡來

我喜歡後面電車那段
我的感覺是那是在表達輪迴與過客
今天的歌者，前世可能是各種各樣的人、有老有小有男有女有好有壞（其實也可能有動物有植物有精靈有天人的）

那段不知為何讓我有點被觸動到，眼淚還默默的從眼角流下來。",人|小; 人|老; 女|壞; 女|好; 女|小; 男|好; 男|小; 男|老; 過客|輪迴; 電車|喜歡,10,我 喜歡 後面 電車 那 段 || 我 的 感覺 是 那 是 在 表達 輪迴 與 過客 || 今天 的 歌者 ， 前世 可能 是 各 種 各 樣 的 人 、 有 老 有 小 有 男 有 女 有 好 有 壞 （ 其實 也 可能 有 動物 有 植物 有 精靈 有 天人 的 ）
超棒的，聽到後面梵文揭諦那一串的部分，有在關注佛經的人聽了也會起了雞皮疙瘩，整體風格有一種在聽黑悟空神話的主題曲感覺，融合的真好，不愧是阿夜,28,超棒的，聽到後面梵文揭諦那一串的部分，有在關注佛經的人聽了也會起了雞皮疙瘩，整體風格有一種在聽黑悟空神話的主題曲感覺，融合的真好，不愧是阿夜,主題曲|黑悟空; 感覺|好; 感覺|黑悟空; 神話|黑悟空; 阿夜|好,5,超棒 的 ， 聽到 後面 梵文 揭諦 那 一 串 的 部分 ， 有 在 關注 佛經 的 人 聽 了 也 會 起 了 雞皮疙瘩 ， 整體 風格 有 一 種 在 聽 黑悟空 神話 的 主題曲 感覺 ， 融合 的 真 好 ， 不愧 是 阿夜
雞皮都疙瘩都起來了 好讚,29,雞皮都疙瘩都起來了 好讚,,0,
阿夜陀佛🔥,30,阿夜陀佛🔥,,0,
阿彌陀佛🙏🏻每天都要聽,31,阿彌陀佛🙏🏻每天都要聽,,0,
阿彌陀佛阿彌阿彌阿彌陀佛,32,阿彌陀佛阿彌阿彌阿彌陀佛,,0,
這阿彌陀佛也太酷了吧😍😍,33,這阿彌陀佛也太酷了吧😍😍,阿彌陀佛|酷,1,這 阿彌陀佛 也 太 酷 了 吧 😍 😍
起雞皮疙瘩,34,起雞皮疙瘩,,0,
"This song is GREAT!! good lyrics, good beats! Loving this song! If Marz23 perform this song in Singapore will be awesome! LETS GO! Greetings from Singapore! Much Love!",35,這首歌太棒了！ ！歌詞好，節奏好！喜歡這首歌！如果Marz23在新加坡演唱這首歌那就太棒了！我們走吧！來自新加坡的問候！非常有愛！,歌|喜歡; 歌|棒; 歌詞|好; 節奏|好,4,這 首 歌 太 棒 了 || 歌詞 好 ， 節奏 好 || 喜歡 這 首 歌 || 如果 Marz23 在 新加坡 演唱 這 首 歌 那 就 太 棒 了
南無阿蜜陀佛 感恩菩薩分享的好音樂,36,南無阿蜜陀佛 感恩菩薩分享的好音樂,菩薩|好; 音樂|好,2,南無 阿蜜陀佛   感恩 菩薩 分享 的 好 音樂
這首歌的全部都讓人覺得很深刻，完全讓人聽了有種跟自己和解的體悟，本來正在跟自己的心魔輪流煎熬，聽了之後讓我的人生達到一個豁達的境界，允許一切發生、一切情緒、惡念都讓它們自然冒出，但是你選擇不附和，謝謝阿夜，我愛你如同愛自己，（這首歌已經單曲循環播放超過100次了🎉❤❤❤🎉）,37,這首歌的全部都讓人覺得很深刻，完全讓人聽了有種跟自己和解的體悟，本來正在跟自己的心魔輪流煎熬，聽了之後讓我的人生達到一個豁達的境界，允許一切發生、一切情緒、惡念都讓它們自然冒出，但是你選擇不附和，謝謝阿夜，我愛你如同愛自己，（這首歌已經單曲循環播放超過100次了🎉❤❤❤🎉）,人|深刻; 人|覺得; 人生|豁達; 境界|豁達,4,這 首 歌 的 全部 都 讓 人 覺得 很 深刻 ， 完全 讓 人 聽 了 有 種 跟 自己 和解 的 體悟 ， 本來 正在 跟 自己 的 心魔 輪流 煎熬 ， 聽 了 之後 讓 我 的 人生 達到 一 個 豁達 的 境界 ， 允許 一切 發生 、 一切 情緒 、 惡念 都 讓 它們 自然 冒出 ， 但是 你 選擇 不 附和 ， 謝謝 阿夜 ， 我 愛 你 如同 愛 自己 ， （ 這 首 歌 已經 單曲 循環 播放 超過 100 次 了 🎉❤❤❤🎉 ）
"超讚，很有態度
好聽，推👍",38,"超讚，很有態度
好聽，推👍",,0,
新舊融合抓得很好欸～ 經典的佛歌風格和現代電音搖滾mix 的超順，真心覺得超屌❤,39,新舊融合抓得很好欸～ 經典的佛歌風格和現代電音搖滾mix 的超順，真心覺得超屌❤,佛歌|現代; 搖滾|現代; 搖滾|真心; 搖滾|超順; 新舊|好; 經典|好; 經典|現代; 超屌|真心; 超屌|覺得; 超屌|超順; 電音|現代; 電音|超順; 風格|現代,13,新舊 融合 抓 得 很 好 欸 ～   經典 的 佛歌 風格 和 現代 電音 搖滾 mix  的 超順 ， 真心 覺得 超屌 ❤
真的好喜歡❤ 謝謝你阿夜,40,真的好喜歡❤ 謝謝你阿夜,阿夜|喜歡,1,真的 好 喜歡 ❤   謝謝 你 阿夜
"看見了那些失敗與折磨在感悟後 超脫世俗見解 真正的觀自在自我檢視
悟～觀自在菩薩阿彌陀佛🪷🙏🏻",41,"看見了那些失敗與折磨在感悟後 超脫世俗見解 真正的觀自在自我檢視
悟～觀自在菩薩阿彌陀佛🪷🙏🏻",世俗|感悟; 悟|自在; 折磨|失敗; 折磨|感悟; 菩薩|自在; 見解|感悟; 見解|自在; 阿彌陀佛|自在,8,看見 了 那些 失敗 與 折磨 在 感悟 後   超脫 世俗 見解   真正 的 觀 自在 自我 檢視 || 悟 ～ 觀 自在 菩薩 阿彌陀佛 🪷🙏🏻
❤❤❤ 太愛這首,42,❤❤❤ 太愛這首,,0,
簽到 阿彌陀佛,43,簽到 阿彌陀佛,,0,
很讚耶！真的！👍,44,很讚耶！真的！👍,,0,
超厲害欸❤❤❤❤❤❤,45,超厲害欸❤❤❤❤❤❤,,0,
超愛⋯這個能量跟畫面，謝謝23bro,46,超愛⋯這個能量跟畫面，謝謝23bro,能量|超愛,1,超愛 ⋯ 這 個 能量 跟 畫面 ， 謝謝 23 bro
超酷的 超好聽 必須加入早上起床的歌單 .聽了一整天上班都有精神了❤👍,47,超酷的 超好聽 必須加入早上起床的歌單 .聽了一整天上班都有精神了❤👍,,0,
感動，能量滿滿的歌。,48,感動，能量滿滿的歌。,歌|感動; 歌|滿滿; 能量|感動; 能量|滿滿,4,感動 ， 能量 滿滿 的 歌
蕭的配音 很順暢 Marz 的聲音又很渾厚 好聽 靈感來源真的是 觀自在 這個語意完美呈現 MV也有凸顯 人的心 面露出來的感覺 真的很有才華 真的很厲害👍,49,蕭的配音 很順暢 Marz 的聲音又很渾厚 好聽 靈感來源真的是 觀自在 這個語意完美呈現 MV也有凸顯 人的心 面露出來的感覺 真的很有才華 真的很厲害👍,來源|好聽; 來源|渾厚; 來源|自在; 才華|厲害; 聲音|好聽; 聲音|渾厚; 聲音|順暢; 蕭|順暢; 語意|完美; 語意|自在; 靈感|好聽; 靈感|渾厚; 靈感|自在,13,蕭 的 配音   很 順暢  Marz  的 聲音 又 很 渾厚   好聽   靈感 來源 真的 是  觀 自在   這 個 語意 完美 呈現  MV 也 有 凸顯  人 的 心 面 露出來 的 感覺   真的 很 有 才華   真的 很 厲害 👍
太扯了⋯好喜歡❤,50,太扯了⋯好喜歡❤,,0,
好有能量❤,51,好有能量❤,,0,
超好聽,52,超好聽,,0,
佛學即是哲學,53,佛學即是哲學,,0,
"喜歡！支持！謝謝Marz23
創作出這首能治癒人心的作品",54,"喜歡！支持！謝謝Marz23
創作出這首能治癒人心的作品",,0,
超屌的啊彌陀佛,55,超屌的啊彌陀佛,彌陀佛|超屌,1,超屌 的 啊 彌陀佛
這聽起來會飛 狂感😌,56,這聽起來會飛 狂感😌,,0,
好赞❤又突破了！好听而且mv也很有深度,57,好赞❤又突破了！好听而且mv也很有深度,,0,
太好聽了世界最強的佛經的歌 如果在演唱會唱一定炸翻謝謝有Marz23的存在,58,太好聽了世界最強的佛經的歌 如果在演唱會唱一定炸翻謝謝有Marz23的存在,佛經|強; 歌|強,2,太 好聽 了 世界 最 強 的 佛經 的 歌   如果 在 演唱會 唱 一定 炸翻 謝謝 有 Marz23 的 存在
好聽,59,好聽,,0,
好聽❤❤,60,好聽❤❤,,0,
😮❤太驚艷了！,61,😮❤太驚艷了！,,0,
"很厲害
搖滾之神😍",62,"很厲害
搖滾之神😍",,0,
這mv畫面傳遞了許多不好的能量,63,這mv畫面傳遞了許多不好的能量,畫面|好; 能量|好,2,這 mv 畫面 傳遞 了 許多 不 好 的 能量
真的好聽到一直repeat~很期待影片呈現😁,64,真的好聽到一直repeat~很期待影片呈現😁,影片|期待,1,真的 好聽到 一直 repeat ~ 很 期待 影片 呈現 😁
真的有夠帥❤❤❤❤❤超好聽👏👏👏,65,真的有夠帥❤❤❤❤❤超好聽👏👏👏,,0,
❤,66,❤,,0,
從面對黑暗痛苦掙扎到覺悟的帥，太帥了❤,67,從面對黑暗痛苦掙扎到覺悟的帥，太帥了❤,黑暗|痛苦; 黑暗|覺悟,2,從 面對 黑暗 痛苦 掙扎 到 覺悟 的 帥 ， 太 帥 了 ❤
期待❤,68,期待❤,,0,
超讚,69,超讚,,0,
這首歌好適合西門町,70,這首歌好適合西門町,歌|適合,1,這 首 歌 好 適合 西門町
😻😻😻😻😻好喜歡,71,😻😻😻😻😻好喜歡,,0,
太好看了吧❤❤❤❤,72,太好看了吧❤❤❤❤,,0,
雞皮疙瘩起來了耶!!!!!!而且莫名看著歌詞就眼眶都是眼淚了QQQQQQ真的只有你可以!!!!!!想在演唱會上聽到這首!!!!!!!,73,雞皮疙瘩起來了耶!!!!!!而且莫名看著歌詞就眼眶都是眼淚了QQQQQQ真的只有你可以!!!!!!想在演唱會上聽到這首!!!!!!!,歌詞|莫名; 眼眶|莫名,2,而且 莫名 看 著 歌詞 就 眼眶 都 是 眼淚 了 QQQQQQ 真的 只有 你 可以
超洗腦,74,超洗腦,,0,
Crazy 🔥,75,瘋狂🔥,,0,
扯好聽😭😭,76,扯好聽😭😭,,0,
好棒喔天啊👍,77,好棒喔天啊👍,,0,
聽完覺得被超渡了,78,聽完覺得被超渡了,,0,
聽完了 大師兄也都回來了,79,聽完了 大師兄也都回來了,,0,
聽完整個人都雞皮疙瘩起來🥹,80,聽完整個人都雞皮疙瘩起來🥹,人|雞皮疙瘩,1,聽完 整 個 人 都 雞皮疙瘩 起來 🥹
好正向歌詞，MV拍的很好👍,81,好正向歌詞，MV拍的很好👍,歌詞|好; 歌詞|正向,2,好 正向 歌詞 ， MV 拍 的 很 好 👍
超屌,82,超屌,,0,
太屌了🙏,83,太屌了🙏,,0,
"很喜歡緊握捷運手把低頭只有腳下狹窄的視野這段
意識抬頭放手，迎接內心的平靜看向前方開闊眼界",84,"很喜歡緊握捷運手把低頭只有腳下狹窄的視野這段
意識抬頭放手，迎接內心的平靜看向前方開闊眼界",內心|平靜; 手把|喜歡; 手把|狹窄; 捷運|喜歡; 眼界|平靜; 眼界|開闊; 腳|狹窄; 視野|狹窄,8,很 喜歡 緊握 捷運 手把 低頭 只有 腳 下 狹窄 的 視野 這 段 || 意識 抬頭 放手 ， 迎接 內心 的 平靜 看 向 前方 開闊 眼界
好讚喔！希望大家觀自在，不著相。,85,好讚喔！希望大家觀自在，不著相。,,0,
我很感謝這首歌的出現🙏🏼,86,我很感謝這首歌的出現🙏🏼,歌|出現; 歌|感謝,2,我 很 感謝 這 首 歌 的 出現 🙏 🏼
阿門陀佛,87,阿門陀佛,,0,
好扯喔 林志融😍😍繼94在靠杯 這是我看過第二個癲癲的MV😍好愛這精神狀態🥹😍看完身心靈都被淨化🥹目前很需要 寫報告寫到快ㄎㄧ笑（很想脫離這苦海）🥹謝謝23❤️‍🩹Mv炸爛😍❤️‍🔥,88,好扯喔 林志融😍😍繼94在靠杯 這是我看過第二個癲癲的MV😍好愛這精神狀態🥹😍看完身心靈都被淨化🥹目前很需要 寫報告寫到快ㄎㄧ笑（很想脫離這苦海）🥹謝謝23❤️‍🩹Mv炸爛😍❤️‍🔥,報告|快; 報告|需要; 心靈|完身; 心靈|淨化; 林志融|好扯; 狀態|完身; 精神|完身,7,好扯 喔   林志融 😍😍 繼 94 在 靠杯   這 是 我 看過 第二 個 癲癲 的 MV😍 好 愛 這 精神 狀態 🥹 😍 看 完身 心靈 都 被 淨化 🥹 目前 很 需要   寫 報告 寫到 快 ㄎㄧ笑 （ 很 想 脫離 這 苦海 ） 🥹 謝謝 23 ❤️‍🩹Mv 炸爛 😍❤️‍🔥
神曲讓人翩翩起舞,89,神曲讓人翩翩起舞,,0,
屌炸,90,屌炸,,0,
很厲🙌🙌🙌,91,很厲🙌🙌🙌,,0,
一切的表達都是可以的，感謝圓滿的「在」,92,一切的表達都是可以的，感謝圓滿的「在」,,0,
謝謝你,93,謝謝你,,0,
南無大慈大悲觀世音菩薩摩訶薩🙏,94,南無大慈大悲觀世音菩薩摩訶薩🙏,,0,
酷斃了❤🎉,95,酷斃了❤🎉,,0,
超帥的歌,96,超帥的歌,歌|超帥,1,超帥 的 歌
阿彌阿彌阿彌阿彌阿彌陀佛,97,阿彌阿彌阿彌阿彌阿彌陀佛,,0,
酷 喜歡,98,酷 喜歡,,0,
真棒 被淨化了❤❤❤,99,真棒 被淨化了❤❤❤,,0,
"全新進化 淨化全心！
Marz23 一直都是超越音樂的藝術
照見五蘊皆空 度一切苦厄🪷",100,"全新進化 淨化全心！
Marz23 一直都是超越音樂的藝術
照見五蘊皆空 度一切苦厄🪷",,0,
聽完都被渡劫了👏🏻,101,聽完都被渡劫了👏🏻,,0,
