Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
"Mỗi lần có người LIKE cmt này, tôi mở cho cả công ty nghe",297,每次有人喜歡這條評論時，我都會打開它讓整個公司都聽到,人|喜歡; 評論|喜歡,2,每 次 有 人 喜歡 這 條 評論 時 ， 我 都 會 打開 它 讓 整 個 公司 都 聽到,2,興奮,用按讚數決定播放次數,gemini-3.1-flash-lite
"nhạc của anh càng nghe càng hay, ai thấy đúng like nào",423,你聽他的音樂越多，效果就越好。誰喜歡它？,效果|多; 效果|好; 音樂|多,3,你 聽 他 的 音樂 越 多 ， 效果 就 越 好,2,興奮,認為歌曲越聽越好聽,gemini-3.1-flash-lite
Càng nghe càng thấy hay!,461,你聽得越多，效果越好！,效果|多; 效果|好,2,你 聽 得 越 多 ， 效果 越 好,2,興奮,表達對歌曲的喜愛,gemini-3.1-flash-lite
From Spain. This is truly a great song ! 🇪🇦🇪🇦🇻🇳🇻🇳,11,來自西班牙。這確實是一首很棒的歌曲！ 🇪🇦🇪🇦🇻🇳🇻🇳,歌曲|棒,1,這 確實 是 一 首 很 棒 的 歌曲,1,興奮,跨國支持並稱讚歌曲,gemini-3.1-flash-lite
Muốn mọi điều tốt đẹp nhất. Sẽ đến với cậu ấy. 1 người tôi luôn yêu thich và ngưỡng mộ.,20,想要一切都最好。會來找他。一個我一直喜歡和敬佩的人。,人|喜歡,1,一 個 我 一直 喜歡 和 敬佩 的 人,1,感動,表達對歌手的喜愛與支,gemini-3.1-flash-lite
"인기곡 목록에서 이 노래를 발견했는데, 들어볼 만한 가치가 충분했어요. 완전히 빠져버렸어요!",21,我在流行歌曲排行榜上發現了這首歌，非常值得一聽。我完全著迷了！,排行榜|流行; 歌|值得; 歌曲|流行,3,我 在 流行 歌曲 排行榜 上 發現 了 這 首 歌 ， 非常 值得 一 聽,1,興奮,被歌曲深深吸引,gemini-3.1-flash-lite
"From iraq, i really liked this song so much, i love son tung and vietnam ❤
🇮🇶❤🇻🇳",30,"來自伊拉克，我真的非常喜歡這首歌，我愛兒子同和越南❤
🇮🇶❤🇻🇳",歌|喜歡,1,來自 伊拉克 ， 我 真的 非常 喜歡 這 首 歌 ， 我 愛 兒子 同 和 越南 ❤,1,興奮,跨國支持並喜愛歌手,gemini-3.1-flash-lite
Hello am Kenyan from Africa 🌍..I love this song..,41,你好，來自非洲的肯亞人🌍..我喜歡這首歌..,歌|喜歡; 肯亞人|喜歡; 肯亞人|好,3,你 好 ， 來自 非洲 的 肯亞人 🌍.. 我 喜歡 這 首 歌 . .,1,興奮,來自肯亞的喜愛與支持,gemini-3.1-flash-lite
5 rưỡi sáng vẫn cày và không ai like😢😢,43,早上5:30還在犁地沒人喜歡😢😢,人|喜歡,1,早上 5:30 還 在 犁地 沒 人 喜歡 😢 😢,1,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
"Nhìn biểu tượng mà ST đưa lên tôi thấy tự hào quá, xem mà nổi da gà. Chúc mừng Sơn Tùng MTP...",64,看著ST貼出的標誌，我感到非常自豪，讓人起雞皮疙瘩。恭喜孫東 MTP...,人|感到; 人|自豪; 標誌|感到; 標誌|自豪; 雞皮疙瘩|自豪,5,看 著 ST 貼出 的 標誌 ， 我 感到 非常 自豪 ， 讓 人 起 雞皮疙瘩,1,感動,對歌手展現文化感到自,gemini-3.1-flash-lite
"First time listening to Sontung and just wow, what a unique vocal and style he has, and tyga I have been listening to him for over a decade, great song 🔥🥂",66,第一次聽 Sontung，哇，他的聲音和風格多麼獨特，tyga 我已經聽他十多年了，很棒的歌曲 🔥🥂,歌曲|棒; 聲音|獨特; 風格|獨特,3,第一 次 聽  Sontung ， 哇 ， 他 的 聲音 和 風格 多麼 獨特 ， tyga  我 已經 聽 他 十多 年 了 ， 很 棒 的 歌曲  🔥 🥂,1,興奮,驚艷於歌手的獨特風格,gemini-3.1-flash-lite
"As a American, I find the lyrics and melody of this song very harmonious, and I hope it will gain wider recognition in the international music scene.",71,身為一個美國人，我覺得這首歌的歌詞和旋律非常和諧，希望它能在國際樂壇得到更廣泛的認可。,旋律|和諧; 旋律|希望; 歌|覺得; 歌詞|和諧; 歌詞|覺得; 美國人|覺得,6,身為 一 個 美國人 ， 我 覺得 這 首 歌 的 歌詞 和 旋律 非常 和諧 ， 希望 它 能 在 國際 樂壇 得到 更 廣泛 的 認可,1,期待,希望歌曲獲得國際認可,gemini-3.1-flash-lite
"Nhạc quá hay, ko chê vaod đâu đc",76,音樂太好聽了，我不能抱怨聲音,音樂|好聽,1,音樂 太 好聽 了 ， 我 不能 抱怨 聲音,1,興奮,極度讚賞歌曲品質,gemini-3.1-flash-lite
Gần 40 tuổi vẫn cày view cho Sếp từ tối qua mà khum ai like,89,快40歲了，從昨晚開始還在看Boss，沒人喜歡,人|喜歡,1,快 40 歲 了 ， 從 昨晚 開始 還 在 看 Boss ， 沒 人 喜歡,1,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
Love this song on a repeat more love from Nigerian son,98,喜歡這首歌，重複尼日利亞兒子的更多愛,歌|喜歡,1,喜歡 這 首 歌 ， 重複 尼日利亞 兒子 的 更多 愛,1,興奮,循環播放並表達喜愛,gemini-3.1-flash-lite
Mỗi lần có người like mình vào cày mv cho sếp,100,每當有人喜歡我時，我就會上傳一段音樂影片給我的老闆,人|喜歡,1,每當 有 人 喜歡 我 時 ， 我 就 會 上傳 一 段 音樂 影片 給 我 的 老闆,1,興奮,以按讚數作為刷榜動力,gemini-3.1-flash-lite
Nhạc hay quá,107,音樂真好聽,音樂|好聽,1,音樂 真 好聽,1,興奮,簡短表達對音樂的喜愛,gemini-3.1-flash-lite
メロディーとリズムが良いし、中毒性がある神曲だ！,117,這是一首神曲，旋律和節奏都很好，讓人上癮！,人|上癮; 人|好; 旋律|好; 節奏|好,4,這 是 一 首 神曲 ， 旋律 和 節奏 都 很 好 ， 讓 人 上癮,1,興奮,稱讚旋律洗腦的神曲,gemini-3.1-flash-lite
I love this song 💗💗💗,119,我很喜歡這首歌💗💗💗,歌|喜歡,1,我 很 喜歡 這 首 歌 💗💗💗,1,興奮,表達對歌曲的喜愛,gemini-3.1-flash-lite
Sending love from Australia. Proud of you!! Hit likes to repeat the song ❤,120,來自澳洲的愛心。為你驕傲！ ！ Hit喜歡重複這首歌❤,歌|喜歡,1,Hit 喜歡 重複 這 首 歌 ❤,1,興奮,跨國支持並以歌手為榮,gemini-3.1-flash-lite
"Sơn Tùng h đã ở vị thế mà không cần làm nhạc theo xu thế thị trường, ẻm làm những gì mà ẻm thích, ẻm trải nghiệm những xu thế mới, có thể không hợp tai một số khán thính giả nhưng tài năng, tâm huyết của Sơn Tùng là điều không thể phủ nhận.",126,孫棟所處的位置，他不需要根據市場趨勢來製作音樂，他做自己喜歡的事情，他體驗新的趨勢，可能不適合某些聽眾的耳朵，但孫棟的才華和熱情是不可否認的。,事情|喜歡; 事情|新; 位置|需要; 耳朵|適合; 聽眾|適合; 趨勢|新; 趨勢|適合; 趨勢|需要; 音樂|喜歡,9,孫棟 所 處 的 位置 ， 他 不 需要 根據 市場 趨勢 來 製作 音樂 ， 他 做 自己 喜歡 的 事情 ， 他 體驗 新 的 趨勢 ， 可能 不 適合 某些 聽眾 的 耳朵 ， 但 孫棟 的 才華 和 熱情 是 不可 否認 的,1,感動,肯定歌手的才華與堅持,gemini-3.1-flash-lite
Nhạc của ST mình thích ở chổ càng nghe nhiều càng nghiện,139,我喜歡ST的音樂就是越聽越上癮,音樂|喜歡,1,我 喜歡 ST 的 音樂 就 是 越 聽 越 上癮,1,興奮,認為歌曲耐聽且上癮,gemini-3.1-flash-lite
"Sáng dậy là mở lên nghe liền, ai như tui ko??",152,當我早上醒來時，我立即打開它並聽，有人像我一樣嗎？,人|一樣,1,當 我 早上 醒來 時 ， 我 立即 打開 它 並 聽 ， 有 人 像 我 一樣 嗎,1,興奮,每天起床必聽歌曲,gemini-3.1-flash-lite
Sếp tùng mãi đỉnh ❤,159,老闆永遠是最棒的❤,老闆|棒,1,老闆 永遠 是 最 棒 的 ❤,1,興奮,表達對歌手的崇拜,gemini-3.1-flash-lite
Nghỉ trưa mà vẫn c.à.y❤❤❤ ko thấy ai like nhỉ???,169,午休了，還沒看到有人喜歡我？ ？ ？,人|喜歡,1,午休 了 ， 還 沒 看到 有 人 喜歡 我,1,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
"i've been following u for so long to hear this style of music 🙏🏻, i love it, keep it up, you're a perfect fit, 7-year love from Taiwan 😍👍🏻👍🏻",179,我關注你這麼久了，就是為了聽這種風格的音樂🙏🏻，我喜歡，繼續堅持，你太合適了，來自台灣的7年愛😍👍🏻👍🏻,音樂|喜歡,1,我 關注 你 這麼 久 了 ， 就是 為了 聽 這 種 風格 的 音樂 🙏🏻 ， 我 喜歡 ， 繼續 堅持 ， 你 太 合適 了 ， 來自 台灣 的 7 年 愛 😍👍🏻👍 🏻,1,感動,長期支持並喜愛新風格,gemini-3.1-flash-lite
"Tyga used to be my idol back in 2019. Coincidentally, today someone I highly respect just collaborated with a Southeast Asian artist. Intrigued and genuinely surprised, I checked out M-TP's music videos, only to be even more blown away to find out that this guy had also collaborated with Snoop Dogg a true legend. On top of that, I was absolutely amazed by how breathtaking the scenery there is. Vietnamese people must be so proud to have such an all-around talent.",183,Tyga 曾是我 2019 年的偶像。巧合的是，今天我非常尊敬的一個人剛剛與一位東南亞藝術家合作。出於好奇和真正的驚訝，我查看了 M-TP 的音樂視頻，結果更加震驚地發現這個傢伙還與真正的傳奇人物 Snoop Dogg 合作過。最重要的是，我對那裡令人驚嘆的風景感到非常驚訝。越南人民一定為擁有這樣的全能人才感到自豪。,人|感到; 人才|全能; 人才|感到; 人才|自豪; 人才|這樣; 人民|這樣; 人物|合作; 傢伙|震驚; 傳奇|合作; 藝術家|合作; 視頻|震驚; 音樂|震驚; 風景|感到; 風景|驚訝,14,巧合 的 是 ， 今天 我 非常 尊敬 的 一 個 人 剛剛 與 一 位 東南亞 藝術家 合作 || 出於 好奇 和 真正 的 驚訝 ， 我 查看 了  M-TP  的 音樂 視頻 ， 結果 更加 震驚 地 發現 這 個 傢伙 還 與 真正 的 傳奇 人物  Snoop  Dogg  合作 過 || 最 重要 的 是 ， 我 對 那裡 令 人 驚嘆 的 風景 感到 非常 驚訝 || 越南 人民 一定 為 擁有 這樣 的 全能 人才 感到 自豪,1,興奮,驚艷於歌手的國際合作,gemini-3.1-flash-lite
"Chờ nhạc của sếp, COME MY WAYYYYY 😍",202,等待老闆的音樂，COME MY WAYYYYY 😍,老闆|等待; 音樂|等待,2,等待 老闆 的 音樂 ， COME MY WAYYYYY 😍,1,期待,熱切等待新歌發布,gemini-3.1-flash-lite
8h sáng vẫn ngồi cày mà ko ai like 😢,207,早上 8 點仍在犁地，但沒有人喜歡 😢,人|喜歡,1,早上  8  點 仍 在 犁地 ， 但 沒有 人 喜歡   😢,1,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
"Mỗi lần có người like bl mình sẽ nghe lại một lần
edit lần 1: 3N like rồi chắc nghe đây tới tết mới đủ quá😅",223,"每次有人喜歡我就會再聽一遍
第 1 次編輯：3N 個贊，我想這在春節之前就足夠了 😅",人|喜歡,1,每 次 有 人 喜歡 我 就 會 再 聽 一 遍,1,反諷,自嘲按讚數多到聽不完,gemini-3.1-flash-lite
"Mỗi lượt Like comment này tôi sẽ nghe lại 3 lần, Nghe đến cheeeeeeeeeet :))))))",230,每次我喜歡這個評論我都會聽3遍，聽聽cheeeeeeeeeet:)）））））,評論|喜歡,1,每 次 我 喜歡 這 個 評論 我 都 會 聽 3 遍 ， 聽聽 cheeeeeeeeeet:) ） ） ） ） ）,1,興奮,誇張表達對歌曲的熱愛,gemini-3.1-flash-lite
Cay tới sáng. Mà không ai like. Haizz😌,238,辣到早上。但沒有人喜歡它。嘆息😌,人|喜歡,1,但 沒有 人 喜歡 它,1,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
sếp em đỉnhhhh,312,我的老闆棒極了,老闆|棒,1,我 的 老闆 棒 極了,1,興奮,表達對歌手的崇拜,gemini-3.1-flash-lite
Hi everyone ! I'm from Viet Nam and I really like this song ❤,316,大家好 ！我來自越南，我真的很喜歡這首歌❤,歌|喜歡,1,我 來自 越南 ， 我 真的 很 喜歡 這 首 歌 ❤,1,興奮,表達對歌曲的喜愛,gemini-3.1-flash-lite
"chắc chắn rồi mỗi lần like bình luận này, tôi sẽ quay lại xem lần nữa",327,當然，每次我喜歡這個評論，我都會回來再看一遍,評論|喜歡,1,當然 ， 每 次 我 喜歡 這 個 評論 ， 我 都 會 回來 再 看 一 遍,1,興奮,以按讚數作為循環播放,gemini-3.1-flash-lite
Có ai như mình không ? Cứ mỗi sáng thức dậy việc đầu tiên là vào xem hôm nay được bao nhiêu lượt xem rồi,328,有跟我一樣的人嗎？每天早上醒來，我做的第一件事就是進去看看今天有多少瀏覽量,人|一樣,1,有 跟 我 一樣 的 人 嗎,1,期待,每天關注觀看次數,gemini-3.1-flash-lite
Tui ông bố bỉm sữa. Mỗi lần có like cho cmt này tôi sẽ mở cho con tôi nghe 1 lần :))) 😂,331,我是尿布爸。每次我喜歡這個評論，我都會播放給我的孩子聽一次:)））😂,評論|喜歡,1,每 次 我 喜歡 這 個 評論 ， 我 都 會 播放給 我 的 孩子 聽 一 次 : ) ） ） 😂,1,興奮,以按讚數作為播放動力,gemini-3.1-flash-lite
"Comment này được 500 tym, tui sẽ tỏ tình với crush vào ngày mai !!!!!! 🤩🤩🤩",339,這則評論有500則評論了，明天我就向我喜歡的人告白了！ ！ ！ ！ ！ ！ ！ 🤩🤩🤩,人|喜歡; 告白|喜歡,2,這 則 評論 有 500 則 評論 了 ， 明天 我 就 向 我 喜歡 的 人 告白 了,1,期待,將按讚數作為告白門檻,gemini-3.1-flash-lite
Sếp em mãi đỉnh🎉🎉🎉🎉🎉🎉🎉,348,我的老闆永遠是最棒的🎉🎉🎉🎉🎉🎉,老闆|棒,1,我 的 老闆 永遠 是 最 棒 的 🎉🎉🎉🎉🎉🎉,1,興奮,表達對歌手的崇拜,gemini-3.1-flash-lite
Tôi đang tích cực cầy View nhưng không thấy ai Like,351,我正在積極尋找觀點，但沒有看到有人喜歡它,人|喜歡; 觀點|積極,2,我 正在 積極 尋找 觀點 ， 但 沒有 看到 有 人 喜歡 它,1,反諷,自嘲刷榜卻沒人按讚,gemini-3.1-flash-lite
